Danh mục ngành	
5220109	Ngôn ngữ Khmer
5220110	Ngôn ngữ Lào
5320101	Báo chí
5320102	Truyền thông đa phương tiện
5320103	Quan hệ công chúng
5320104	Xuất bản
5320105	Thư viện
5340101	Quản trị kinh doanh
5340102	Marketing
5340103	Kinh doanh quốc tế
5340104	Quản trị văn phòng
5340105	Kế toán
5340106	Tài chính - Ngân hàng
5340107	Bảo hiểm
5340108	Logistics và quản lý chuỗi cung ứng
5340109	Kinh tế
5340110	Thương mại điện tử
5340111	Quản trị khách sạn
5340112	Quản trị dịch vụ du lịch và lữ hành
5340113	Quản trị nhà hàng và dịch vụ ăn uống
5340114	Kinh doanh bất động sản
5340115	Bán lẻ
5380101	Pháp luật
5380102	Pháp luật kinh tế
5480101	Tin học ứng dụng
5480102	Hệ thống thông tin
5480103	Mạng máy tính và truyền thông dữ liệu
5480104	Lập trình máy tính
5480105	Kỹ thuật sửa chữa, lắp ráp máy tính
5480106	Quản trị mạng máy tính
5480107	An toàn thông tin
5480108	Công nghệ thông tin
5480109	Thiết kế trang web
5480110	Quản trị cơ sở dữ liệu
5480111	Kỹ thuật phần mềm
5480112	Công nghệ đa phương tiện
5510101	Công nghệ kỹ thuật cơ khí
5510102	Công nghệ kỹ thuật cơ điện tử
5510103	Cắt gọt kim loại
5510104	Hàn
5510105	Nguội sửa chữa máy công cụ
5510106	Công nghệ ô tô
5510107	Sửa chữa máy thi công xây dựng
5510108	Sửa chữa máy nông nghiệp
5510109	Kỹ thuật máy lạnh và điều hòa không khí
5510110	Công nghệ kỹ thuật nhiệt
5510111	Vận hành máy thi công nền
5510112	Vận hành cần, cầu trục
5510113	Điều khiển tàu biển
5510114	Máy tàu biển
5510115	Điều khiển phương tiện thủy nội địa
5510116	Máy và thiết bị thủy nội địa
5510117	Khai thác máy tàu biển
5510118	Điện tàu thủy
5510119	Lắp đặt thiết bị cơ - điện
5510120	Điện công nghiệp
5510121	Điện dân dụng
5510122	Công nghệ kỹ thuật điện, điện tử
5510123	Điện tử công nghiệp
5510124	Kỹ thuật điện tử, truyền thông
5510125	Kỹ thuật máy tính
5510126	Công nghệ kỹ thuật điều khiển và tự động hóa
5510127	Cơ điện tử
5510128	Hệ thống điện
5510129	Công nghệ kỹ thuật môi trường
5510130	Kỹ thuật xử lý chất thải
5510131	Kỹ thuật thoát nước và xử lý nước thải
5510132	Công nghệ kỹ thuật hóa học
5510133	Lọc - Hóa dầu
5510134	Khí hóa lỏng
5510135	Kỹ thuật phân tích
5510136	Công nghệ sơn và bảo vệ vật liệu
5510137	Công nghệ mạ và xử lý bề mặt
5510138	Đúc kim loại
5510139	Rèn và dập thể tích
5510140	Trắc địa công trình
5510141	Kỹ thuật thiết bị xây dựng và cầu đường
5510142	Kỹ thuật giao thông đường sắt
5510143	Vận hành đường sắt đô thị
5510144	Lái tàu đường sắt
5510145	Khai thác vận tải
5510146	Xây dựng
5510147	Nề - Hoàn thiện
5510148	Bê tông
5510149	Mộc xây dựng và trang trí nội thất
5510150	Hoàn thiện công trình xây dựng
5510151	Lắp đặt cáp điện
5510152	Kiến trúc
5510153	Quản lý xây dựng
5510154	Kỹ thuật trắc địa
5520101	Chế biến và bảo quản thủy sản
5520102	Chế biến thực phẩm
5520103	Kỹ thuật chế biến món ăn
5520104	May thời trang
5520105	Dệt
5520106	In
5520107	Điêu khắc gỗ
5520108	Mộc dân dụng và công nghiệp
5520109	Sản xuất giày da
5520110	Sản xuất sản phẩm từ cao su
5520111	Kỹ thuật xây dựng dân dụng và công nghiệp
5520112	Sản xuất vật liệu xây dựng
5520113	Thiết kế trang phục
5620101	Khoa học cây trồng
5620102	Bảo vệ thực vật
5620103	Chăn nuôi
5620104	Thú y
5620105	Lâm nghiệp đô thị
5620106	Lâm sinh
5620107	Nuôi trồng thủy sản
5620108	Khai thác thủy sản
5620109	Phát triển nông thôn
5620110	Kỹ thuật nông nghiệp
5620111	Trồng trọt và bảo vệ thực vật
5620112	Chăn nuôi và thú y
5620113	Nuôi trồng và khai thác thủy, hải sản
5720101	Điều dưỡng
5720102	Hộ sinh
5720103	Y sĩ đa khoa
5720104	Y tế công cộng
5720105	Kỹ thuật phục hình răng
5720106	Kỹ thuật xét nghiệm y học
5720107	Kỹ thuật hình ảnh y học
5720108	Kỹ thuật phục hồi chức năng
5720109	Vật lý trị liệu
5720110	Dược
5720111	Sức khỏe răng miệng
5720112	Kỹ thuật trang thiết bị y tế
5720113	Kiểm soát nhiễm khuẩn
5720114	Chăm sóc sức khỏe cộng đồng
5720115	Dinh dưỡng
5810101	Điều hành chạy tàu đường sắt
5810102	An toàn lao động
5810103	Bảo vệ
5811101	Chăm sóc sắc đẹp
5811102	Chăm sóc da
5811103	Cắt tóc
5811104	Phun xăm thẩm mỹ
5811105	Trang điểm
5812101	Nghiệp vụ lễ tân
5812102	Nghiệp vụ nhà hàng
5812103	Nghiệp vụ buồng phòng
5812104	Nấu ăn
5812105	Kỹ thuật làm bánh
5812106	Pha chế đồ uống
5813101	Huấn luyện thể thao
5813102	Thể dục thể thao
5814101	Giặt là công nghiệp
5890101	Công tác xã hội
5890102	Phát triển cộng đồng
6110101	Sư phạm mầm non
6110201	Giáo dục tiểu học
6110301	Sư phạm Toán - Tin
6110302	Sư phạm Ngữ văn
6110303	Sư phạm Tiếng Anh
6110304	Sư phạm Vật lý
6110305	Sư phạm Hóa học
6110306	Sư phạm Sinh học
6110307	Sư phạm Lịch sử
6110308	Sư phạm Địa lý
6110309	Sư phạm Thể dục
6110310	Sư phạm Mỹ thuật
6110311	Sư phạm Âm nhạc
6140101	Giáo dục đặc biệt
6140201	Sư phạm giáo dục nghề nghiệp
6140201	Giáo dục Mầm non
6140202	Giáo dục Tiểu học
6140202	Sư phạm kỹ thuật công nghiệp
6140203	Giáo dục Đặc biệt
6140203	Sư phạm kỹ thuật nông nghiệp
6140204	GDCD
6140204	Sư phạm kỹ thuật xây dựng
6140205	Giáo viên huấn luyện xiếc
6140206	Giáo dục Thể chất
6140207	Huấn luyện thể thao
6140208	Giáo dục Quốc phòng - An ninh
6140209	Sư phạm Toán học
6140210	Sư phạm Tin học
6140211	Sư phạm Vật lý
6140212	Sư phạm Hóa học
6140213	Sư phạm Sinh học
6140214	Sư phạm kĩ thuật công nghiệp
6140215	Sư phạm Kỹ thuật nông nghiệp
6140216	Sư phạm Kinh tế gia đình
6140217	Sư phạm Ngữ văn
6140218	Sư phạm Lịch sử
6140219	Sư phạm Địa lý
6140220	Sư phạm Công tác Đội thiếu niên Tiền phong HCM
6140221	Sư phạm Âm nhạc
6140222	Sư phạm Mỹ thuật
6140223	Sư phạm Tiếng Bahna
6140224	Sư phạm Tiếng Êđê
6140226	Sư phạm Tiếng Khmer
6140229	Sư phạm Tiếng M`nông
6140230	Sư phạm Tiếng Xê đăng
6140231	Sư phạm Tiếng Anh
6210101	Nghệ thuật biểu diễn dân ca
6210102	Biểu diễn nhạc cụ truyền thống
6210103	Biểu diễn nhạc cụ phương Tây
6210104	Sáng tác âm nhạc
6210105	Chỉ huy âm nhạc
6210106	Thanh nhạc
6210107	Lý luận và lịch sử âm nhạc
6210108	Biểu diễn múa
6210109	Biên đạo múa
6210110	Lý luận và lịch sử múa
6210111	Diễn viên sân khấu kịch nói
6210112	Diễn viên sân khấu kịch hát
6210113	Diễn viên múa rối
6210114	Đạo diễn sân khấu
6210115	Lý luận và lịch sử sân khấu
6210116	Nghệ thuật xiếc
6210117	Diễn xuất điện ảnh - Truyền hình
6210118	Đạo diễn điện ảnh - Truyền hình
6210119	Quay phim
6210120	Biên tập truyền hình
6210121	Âm thanh
6210122	Kỹ thuật ánh sáng sân khấu điện ảnh
6210201	Hội họa
6210202	Điêu khắc
6210203	Đồ họa
6210204	Lý luận và lịch sử Mỹ thuật
6210205	Mỹ thuật ứng dụng
6210206	Thiết kế đồ họa
6210207	Thiết kế thời trang
6210208	Thiết kế nội thất
6210209	Thiết kế công nghiệp
6210210	Thiết kế mỹ thuật sân khấu - điện ảnh
6220101	Ngôn ngữ Anh
6220102	Ngôn ngữ Nga
6220103	Ngôn ngữ Pháp
6220104	Ngôn ngữ Trung Quốc
6220105	Ngôn ngữ Nhật
6220106	Ngôn ngữ Hàn Quốc
6220107	Ngôn ngữ Đức
6220108	Ngôn ngữ Thái
6220109	Ngôn ngữ Khmer
6220110	Ngôn ngữ Lào
6220111	Hướng dẫn du lịch
6320101	Báo chí
6320102	Truyền thông đa phương tiện
6320103	Quan hệ công chúng
6320104	Xuất bản
6320105	Thông tin học
6320106	Thư viện - Thông tin
6340101	Quản trị kinh doanh
6340102	Marketing
6340103	Kinh doanh quốc tế
6340104	Quản trị văn phòng
6340105	Kế toán
6340106	Tài chính - Ngân hàng
6340107	Bảo hiểm
6340108	Logistics và quản lý chuỗi cung ứng
6340109	Kinh tế
6340110	Thương mại điện tử
6340111	Quản trị khách sạn
6340112	Quản trị dịch vụ du lịch và lữ hành
6340113	Quản trị nhà hàng và dịch vụ ăn uống
6340114	Kinh doanh bất động sản
6340115	Bán lẻ
6340116	Quản lý dự án
6380101	Pháp luật
6380102	Pháp luật kinh tế
6480101	Tin học ứng dụng
6480102	Hệ thống thông tin
6480103	Mạng máy tính và truyền thông dữ liệu
6480104	Lập trình máy tính
6480105	Kỹ thuật sửa chữa, lắp ráp máy tính
6480106	Quản trị mạng máy tính
6480107	An toàn thông tin
6480108	Công nghệ thông tin
6480109	Thiết kế trang web
6480110	Quản trị cơ sở dữ liệu
6480111	Kỹ thuật phần mềm
6480112	Công nghệ đa phương tiện
6480113	Khoa học máy tính
6480114	Hệ thống nhúng
6480115	Trí tuệ nhân tạo
6510101	Công nghệ kỹ thuật cơ khí
6510102	Công nghệ kỹ thuật cơ điện tử
6510103	Cắt gọt kim loại
6510104	Hàn
6510105	Nguội sửa chữa máy công cụ
6510106	Công nghệ ô tô
6510107	Sửa chữa máy thi công xây dựng
6510108	Sửa chữa máy nông nghiệp
6510109	Kỹ thuật máy lạnh và điều hòa không khí
6510110	Công nghệ kỹ thuật nhiệt
6510111	Vận hành máy thi công nền
6510112	Vận hành cần, cầu trục
6510113	Điều khiển tàu biển
6510114	Máy tàu biển
6510115	Điều khiển phương tiện thủy nội địa
6510116	Máy và thiết bị thủy nội địa
6510117	Khai thác máy tàu biển
6510118	Điện tàu thủy
6510119	Lắp đặt thiết bị cơ - điện
6510120	Điện công nghiệp
6510121	Điện dân dụng
6510122	Công nghệ kỹ thuật điện, điện tử
6510123	Điện tử công nghiệp
6510124	Kỹ thuật điện tử, truyền thông
6510125	Kỹ thuật máy tính
6510126	Công nghệ kỹ thuật điều khiển và tự động hóa
6510127	Cơ điện tử
6510128	Hệ thống điện
6510129	Công nghệ kỹ thuật môi trường
6510130	Kỹ thuật xử lý chất thải
6510131	Kỹ thuật thoát nước và xử lý nước thải
6510132	Công nghệ kỹ thuật hóa học
6510133	Lọc - Hóa dầu
6510134	Khí hóa lỏng
6510135	Kỹ thuật phân tích
6510136	Công nghệ sơn và bảo vệ vật liệu
6510137	Công nghệ mạ và xử lý bề mặt
6510138	Đúc kim loại
6510139	Rèn và dập thể tích
6510140	Trắc địa công trình
6510141	Kỹ thuật thiết bị xây dựng và cầu đường
6510142	Kỹ thuật giao thông đường sắt
6510143	Vận hành đường sắt đô thị
6510144	Lái tàu đường sắt
6510145	Khai thác vận tải
6510146	Xây dựng
6510147	Kỹ thuật xây dựng công trình giao thông
6510148	Xây dựng cầu đường
6510149	Kiến trúc
6510150	Quản lý xây dựng
6510151	Công nghệ kỹ thuật xây dựng
6510152	Kỹ thuật trắc địa
6510153	Lắp đặt cáp điện
6520101	Chế biến và bảo quản thủy sản
6520102	Chế biến thực phẩm
6520103	Kỹ thuật chế biến món ăn
6520104	May thời trang
6520105	Dệt
6520106	In
6520107	Điêu khắc gỗ
6520108	Mộc dân dụng và công nghiệp
6520109	Sản xuất giày da
6520110	Sản xuất sản phẩm từ cao su
6520111	Kỹ thuật xây dựng dân dụng và công nghiệp
6520112	Sản xuất vật liệu xây dựng
6520113	Thiết kế trang phục
6620101	Khoa học cây trồng
6620102	Bảo vệ thực vật
6620103	Chăn nuôi
6620104	Thú y
6620105	Lâm nghiệp đô thị
6620106	Lâm sinh
6620107	Nuôi trồng thủy sản
6620108	Khai thác thủy sản
6620109	Phát triển nông thôn
6620110	Kỹ thuật nông nghiệp
6620111	Trồng trọt và bảo vệ thực vật
6620112	Chăn nuôi và thú y
6620113	Nuôi trồng và khai thác thủy, hải sản
6620114	Kinh tế nông nghiệp
6720101	Điều dưỡng
6720102	Hộ sinh
6720103	Y tế công cộng
6720104	Kỹ thuật phục hình răng
6720105	Kỹ thuật xét nghiệm y học
6720106	Kỹ thuật hình ảnh y học
6720107	Kỹ thuật phục hồi chức năng
6720108	Vật lý trị liệu
6720109	Dược
6720110	Sức khỏe răng miệng
6720111	Kỹ thuật trang thiết bị y tế
6720112	Kiểm soát nhiễm khuẩn
6720113	Chăm sóc sức khỏe cộng đồng
6720114	Dinh dưỡng
6810101	Điều hành chạy tàu đường sắt
6810102	An toàn lao động
6810103	Bảo vệ
6811101	Chăm sóc sắc đẹp
6811102	Chăm sóc da
6811103	Cắt tóc
6812101	Nghiệp vụ lễ tân
6812102	Nghiệp vụ nhà hàng
6812103	Nghiệp vụ buồng phòng
6812104	Nấu ăn
6812105	Kỹ thuật làm bánh
6812106	Pha chế đồ uống
6813101	Huấn luyện thể thao
6813102	Thể dục thể thao
6814101	Giặt là công nghiệp
6890101	Công tác xã hội
6890102	Phát triển cộng đồng
7140101	Giáo dục học
7140102	Khoa học giáo dục
7140103	Công nghệ giáo dục
7140114	Quản lý giáo dục
7140115	Công nghệ giáo dục
7140116	Quản trị công nghệ giáo dục
7140117	Quản trị trường học
7140201	Giáo dục Mầm non
7140202	Giáo dục Tiểu học
7140203	Giáo dục Đặc biệt
7140204	Giáo dục Công dân
7140205	Giáo dục Chính trị
7140206	Giáo dục Thể chất
7140207	Huấn luyện thể thao
7140208	Giáo dục Quốc phòng - An ninh
7140209	Sư phạm Toán học
7140210	Sư phạm Tin học
7140211	Sư phạm Vật lý
7140212	Sư phạm Hoá học
7140213	Sư phạm Sinh học
7140214	Sư phạm Kỹ thuật công nghiệp
7140215	Sư phạm Kỹ thuật nông nghiệp
7140217	Sư phạm Ngữ văn
7140218	Sư phạm Lịch sử
7140219	Sư phạm Địa lý
7140221	Sư phạm Âm nhạc
7140222	Sư phạm Mỹ thuật
7140223	Sư phạm Tiếng Bana
7140224	Sư phạm Tiếng Êđê
7140225	Sư phạm Tiếng Jrai
7140226	Sư phạm Tiếng Khmer
7140227	Sư phạm Tiếng H`mong
7140228	Sư phạm Tiếng Chăm
7140229	Sư phạm Tiếng M`nông
7140230	Sư phạm Tiếng Xê đăng
7140231	Sư phạm Tiếng Anh
7140232	Sư phạm Tiếng Nga
7140233	Sư phạm Tiếng Pháp
7140234	Sư phạm Tiếng Trung Quốc
7140235	Sư phạm Tiếng Đức
7140236	Sư phạm Tiếng Nhật
7140237	Sư phạm Tiếng Hàn Quốc
7140245	Sư phạm nghệ thuật
7140246	Sư phạm công nghệ
7140247	Sư phạm khoa học tự nhiên
7140248	Giáo dục pháp luật
7140249	Sư phạm Lịch sử - Địa lí
7140250	Sư phạm Tin học và Công nghệ tiểu học
7149001	Kinh tế giáo dục
7210101	Lý luận, lịch sử và phê bình mỹ thuật
7210103	Hội hoạ
7210104	Đồ hoạ
7210105	Điêu khắc
7210107	Gốm
7210110	Mỹ thuật đô thị
7210201	Âm nhạc học
7210203	Sáng tác âm nhạc
7210204	Chỉ huy âm nhạc
7210205	Thanh nhạc
7210207	Biểu diễn nhạc cụ phương tây
7210208	Piano
7210209	Nhạc Jazz
7210210	Biểu diễn nhạc cụ truyền thống
7210221	Lý luận, lịch sử và phê bình sân khấu
7210225	Biên kịch sân khấu
7210226	Diễn viên sân khấu kịch hát
7210227	Đạo diễn sân khấu
7210231	Lý luận, lịch sử và phê bình điện ảnh, truyền hình
7210233	Biên kịch điện ảnh, truyền hình
7210234	Diễn viên kịch, điện ảnh - truyền hình
7210235	Đạo diễn điện ảnh, truyền hình
7210236	Quay phim
7210241	Lý luận, lịch sử và phê bình múa
7210242	Diễn viên múa
7210243	Biên đạo múa
7210244	Huấn luyện múa
7210301	Nhiếp ảnh
7210302	Công nghệ điện ảnh, truyền hình
7210303	Thiết kế âm thanh, ánh sáng
7210304	Phim
7210402	Thiết kế công nghiệp
7210403	Thiết kế đồ họa
7210404	Thiết kế thời trang
7210405	Âm nhạc
7210406	Thiết kế mỹ thuật sân khấu, điện ảnh
7210407	Thiết kế kỹ thuật số
7210408	Nghệ thuật số
7210409	Thiết kế Mỹ thuật số
7220101	Tiếng Việt và văn hoá Việt Nam
7220104	Hán Nôm
7220105	Ngôn ngữ Jrai
7220106	Ngôn ngữ Khmer
7220107	Ngôn ngữ H`mong
7220108	Ngôn ngữ Chăm
7220110	Sáng tác văn học
7220112	Văn hoá các dân tộc thiểu số Việt Nam
7220201	Ngôn ngữ Anh
7220202	Ngôn ngữ Nga
7220203	Ngôn ngữ Pháp
7220204	Ngôn ngữ Trung Quốc
7220205	Ngôn ngữ Đức
7220206	Ngôn ngữ Tây Ban Nha
7220207	Ngôn ngữ Bồ Đào Nha
7220208	Ngôn ngữ Italia
7220209	Ngôn ngữ Nhật
7220210	Ngôn ngữ Hàn Quốc
7220211	Ngôn ngữ Ảrập
7220212QTD	Văn hóa và truyền thông xuyên quốc gia
7220214	Ngôn ngữ Thái Lan
7229001	Triết học
7229008	Chủ nghĩa xã hội khoa học
7229009	Tôn giáo học
7229010	Lịch sử
7229020	Ngôn ngữ học
7229030	Văn học
7229040	Văn hoá học
7229042	Quản lý văn hoá
7229045	Gia đình học
7310101	Kinh tế
7310102	Kinh tế chính trị
7310104	Kinh tế đầu tư
7310105	Kinh tế phát triển
7310106	Kinh tế quốc tế
7310107	Thống kê kinh tế
7310108	Toán kinh tế
7310109	Kinh tế số
7310110	Quản lý kinh tế
7310111	Nghiên cứu phát triển
7310201	Chính trị học
7310202	Xây dựng Đảng và chính quyền nhà nước
7310205	Quản lý nhà nước
7310206	Quan hệ quốc tế
7310301	Xã hội học
7310302	Nhân học
7310401	Tâm lý học
7310402	Tham vấn học đường
7310403	Tâm lý học giáo dục
7310501	Địa lý học
7310601	Quốc tế học
7310602	Châu Á học
7310607	Thái Bình Dương học
7310608	Đông phương học
7310612	Trung Quốc học
7310613	Nhật Bản học
7310614	Hàn Quốc học
7310620	Đông Nam Á học
7310630	Việt Nam học
7310631	Châu Á - Thái Bình Dương học
7320101	Báo chí
7320104	Truyền thông đa phương tiện
7320105	Truyền thông đại chúng
7320106	Công nghệ truyền thông
7320107	Truyền thông quốc tế
7320108	Quan hệ công chúng
7320109	Truyền thông doanh nghiệp
7320110	Quảng cáo
7320111	Truyền thông số
7320201	Thông tin - thư viện
7320205	Quản lý thông tin
7320303	Lưu trữ học
7320305	Bảo tàng học
7320401	Xuất bản
7320402	Kinh doanh xuất bản phẩm
7329001	Công nghệ đa phương tiện
7340101	Quản trị kinh doanh
7340102	Quản trị - Luật
7340108	Quản lý
7340114	Digital Marketing
7340115	Marketing
7340116	Bất động sản
7340120	Kinh doanh quốc tế
7340121	Kinh doanh thương mại
7340122	Thương mại điện tử
7340123	Kinh doanh thời trang và dệt may
7340124	Quản trị và Kinh doanh quốc tế
7340125	Phân tích dữ liệu kinh doanh
7340129	Quản trị kinh doanh thực phầm
7340129_td	Quản trị bệnh viện
7340201	Tài chính - Ngân hàng
7340202	Tài chính và Kế toán
7340204	Bảo hiểm
7340205	Công nghệ tài chính
7340206	Tài chính quốc tế
7340207	Bảo hiểm - tài chính
7340301	Kế toán
7340302	Kiểm toán
7340303	Kế toán, Phân tích và Kiểm toán
7340401	Khoa học quản lý
7340403	Quản lý công
7340404	Quản trị nhân lực
7340405	Hệ thống thông tin quản lý
7340406	Quản trị văn phòng
7340408	Quan hệ lao động
7340409	Quản lý dự án
7340410	Quản trị công nghệ truyền thông
7340411	Quản lý và phát triển nguồn nhân lực
7340412	Quản trị sự kiện
7340415_td	Kinh doanh số
7340418	Quản lý và phát triển du lịch
7340420	Khoa học dữ liệu và phân tích kinh doanh
7349001	Quản trị thương hiệu
7349002	Quản lý giải trí và sự kiện
7380101	Luật
7380102	Luật hiến pháp và luật hành chính
7380103	Luật dân sự và tố tụng dân sự
7380104	Luật hình sự và tố tụng hình sự
7380107	Luật kinh tế
7380108	Luật quốc tế
7380109	Luật Thương mại Quốc tế
7380110	Luật Kinh doanh
7420101	Sinh học
7420201	Công nghệ sinh học
7420202	Kỹ thuật sinh học
7420203	Sinh học ứng dụng
7420204	Khoa học Y Sinh
7420205	Công nghệ sinh học y dược
7420207	Công nghệ thẩm mỹ
7420215	Công nghệ sinh dược
7420216	Môi trường, Sức khỏe và An toàn
7429001	Sinh dược học
7440101	Thiên văn học
7440102	Vật lý học
7440106	Vật lý nguyên tử và hạt nhân
7440107	Công nghệ vật lý điện tử tin học
7440110	Cơ học
7440112	Hoá học
7440122	Khoa học vật liệu
7440201	Địa chất học
7440212	Bản đồ học
7440217	Địa lý tự nhiên
7440222	Khí tượng và khí hậu học
7440224	Thuỷ văn học
7440225	Tài nguyên và môi trường nước
7440228	Hải dương học
7440229	Quản lý và phân tích dữ liệu khoa học 
7440230	Khoa học thông tin địa không gian
7440298	Biến đổi khí hậu và phát triển bền vững
7440299	Khí tượng thủy văn biển
7440301	Khoa học môi trường
7460101	Toán học
7460107	Khoa học tính toán
7460108	Khoa học dữ liệu
7460112	Toán ứng dụng
7460115	Toán cơ
7460117	Toán tin
7460201	Thống kê
7480101	Khoa học máy tính
7480102	Mạng máy tính và truyền thông dữ liệu
7480103	Kỹ thuật phần mềm
7480104	Hệ thống thông tin
7480106	Kỹ thuật máy tính
7480107	Trí tuệ nhân tạo
7480108	Công nghệ kỹ thuật máy tính
7480111	Tin học và kỹ thuật máy tính
7480112	Khoa học dữ liệu và trí tuệ nhân tạo
7480113	Khoa học máy tính và thông tin
7480118	Hệ thống nhúng và IoT
7480201	Công nghệ thông tin
7480202	An toàn thông tin
7480203	Kỹ thuật dữ liệu
7480204	Khoa học và Kỹ thuật Máy tính
7480205	Trí tuệ nhân tạo và Khoa học dữ liệu
7480206	Địa tin học
7480207	Trí tuệ nhân tạo
7480209	Công nghệ tài chính và kinh doanh số
7480210	Công nghệ thông tin ứng dụng
7480298	Khoa học dữ liệu
7489001	Công nghệ đổi mới sáng tạo
7510101	Công nghệ kỹ thuật kiến trúc
7510102	Công nghệ kỹ thuật công trình xây dựng
7510103	Công nghệ kỹ thuật xây dựng
7510104	Công nghệ kỹ thuật giao thông
7510105	Công nghệ kỹ thuật vật liệu xây dựng
7510106	Hệ thống kỹ thuật công trình xây dựng
7510201	Công nghệ kỹ thuật cơ khí
7510202	Công nghệ chế tạo máy
7510203	Công nghệ kỹ thuật cơ - điện tử
7510205	Công nghệ kỹ thuật ô tô
7510206	Công nghệ kỹ thuật nhiệt
7510207	Công nghệ kỹ thuật tàu thủy
7510208	Năng lượng tái tạo
7510209	Robot và trí tuệ nhân tạo
7510210	Điện lạnh và điều hòa không khí
7510211	Bảo dưỡng công nghiệp
7510212	Công nghệ ô tô và giao thông thông minh
7510301	Công nghệ kỹ thuật điện, điện tử
7510302	Công nghệ kỹ thuật điện tử – viễn thông
7510303	Công nghệ kỹ thuật điều khiển và tự động hoá
7510304	IOT và Trí tuệ nhân tạo ứng dụng
7510306	Tự động hóa và tin học
7510401	Công nghệ kỹ thuật hóa học
7510402	Công nghệ vật liệu
7510403	Công nghệ kỹ thuật năng lượng
7510404	Kỹ thuật hoá phân tích
7510406	Công nghệ kỹ thuật môi trường
7510407	Công nghệ kỹ thuật hạt nhân
7510410	Công nghệ quan trắc và giám sát tài nguyên môi trường
7510601	Quản lý công nghiệp
7510602	Quản lý năng lượng
7510604	Kinh tế công nghiệp
7510605	Logistics và quản lý chuỗi cung ứng
7510606	Quản trị môi trường Doanh nghiệp
7510701	Công nghệ dầu khí và khai thác dầu
7510801	Công nghệ Kỹ thuật In
7519001	Công nghệ hàng không vũ trụ
7519002	Công nghệ nông nghiệp
7519003	Công nghệ kỹ thuật khuôn mẫu
7519004	Thiết kế cơ khí và kiểu dáng công nghiệp
7519005	Công nghệ kỹ thuật cơ điện tử ô tô
7519007	Công nghệ Kỹ thuật năng lượng tái tạo
7520101	Cơ kỹ thuật
7520103	Kỹ thuật cơ khí
7520114	Kỹ thuật cơ điện tử
7520115	Kỹ thuật nhiệt
7520116	Kỹ thuật cơ khí động lực
7520117	Kỹ thuật công nghiệp
7520118	Kỹ thuật hệ thống công nghiệp
7520119	Kỹ thuật cơ điện tử thông minh và robot
7520120	Kỹ thuật hàng không
7520121	Kỹ thuật không gian
7520122	Kỹ thuật tàu thuỷ
7520130	Kỹ thuật ô tô
7520137	Kỹ thuật In
7520138	Kỹ thuật hàng hải
7520139	Kĩ thuật hệ thống công nghiệp và logistics
7520141	Công nghệ ô tô điện
7520201	Kỹ thuật điện
7520204	Kỹ thuật ra đa - dẫn đường
7520205	Kỹ thuật thuỷ âm
7520206	Kỹ thuật biển
7520207	Kỹ thuật điện tử - viễn thông
7520208	 Công nghệ internet vạn vật (IoT)
7520210	Kỹ thuật điện tử và tin học
7520212	Kỹ thuật y sinh
7520216	Kỹ thuật điều khiển và tự động hoá
7520217	Kỹ thuật Robot
